case_id,class_label,class_name,metric,n,mean_sd
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,balanced_accuracy_ovr,1,62.5
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,f1,1,40.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,recall,1,25.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,specificity,1,100.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,roc_auc_ovr,1,72.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,2,Young,pr_auc_ovr,1,64.4
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,balanced_accuracy_ovr,1,44.2
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,f1,1,28.6
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,recall,1,33.3
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,specificity,1,55.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,roc_auc_ovr,1,56.7
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,Pre-Frail,pr_auc_ovr,1,35.2
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,1,44.4
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,f1,1,38.5
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,recall,1,41.7
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,specificity,1,47.1
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,roc_auc_ovr,1,43.6
compact_cnn__l4_v2_imu_fold_scaled_fixed10,1,Robust/Non-Frail,pr_auc_ovr,1,45.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,balanced_accuracy_ovr,1,51.5
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,f1,1,18.2
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,recall,1,12.5
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,specificity,1,90.5
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,roc_auc_ovr,1,63.7
compact_cnn__l4_v2_imu_fold_scaled_fixed10,2,Young,pr_auc_ovr,1,47.4
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,balanced_accuracy_ovr,1,51.1
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,f1,1,26.7
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,recall,1,22.2
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,specificity,1,80.0
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,roc_auc_ovr,1,62.8
compact_cnn__l5_uniform_replacement_fixed10,0,Pre-Frail,pr_auc_ovr,1,38.2
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,1,50.2
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,f1,1,41.7
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,recall,1,41.7
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,specificity,1,58.8
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,roc_auc_ovr,1,48.5
compact_cnn__l5_uniform_replacement_fixed10,1,Robust/Non-Frail,pr_auc_ovr,1,57.9
compact_cnn__l5_uniform_replacement_fixed10,2,Young,balanced_accuracy_ovr,1,58.3
compact_cnn__l5_uniform_replacement_fixed10,2,Young,f1,1,42.1
compact_cnn__l5_uniform_replacement_fixed10,2,Young,recall,1,50.0
compact_cnn__l5_uniform_replacement_fixed10,2,Young,specificity,1,66.7
compact_cnn__l5_uniform_replacement_fixed10,2,Young,roc_auc_ovr,1,67.9
compact_cnn__l5_uniform_replacement_fixed10,2,Young,pr_auc_ovr,1,57.9
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,balanced_accuracy_ovr,1,57.2
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,f1,1,42.1
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,recall,1,44.4
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,specificity,1,70.0
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,roc_auc_ovr,1,67.8
compact_cnn__l6_v2_line_b_balance_fixed10,0,Pre-Frail,pr_auc_ovr,1,41.4
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,1,53.2
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,f1,1,43.5
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,recall,1,41.7
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,specificity,1,64.7
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,roc_auc_ovr,1,47.1
compact_cnn__l6_v2_line_b_balance_fixed10,1,Robust/Non-Frail,pr_auc_ovr,1,50.2
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,balanced_accuracy_ovr,1,74.1
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,f1,1,62.5
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,recall,1,62.5
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,specificity,1,85.7
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,roc_auc_ovr,1,76.8
compact_cnn__l6_v2_line_b_balance_fixed10,2,Young,pr_auc_ovr,1,58.9
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,balanced_accuracy_ovr,1,63.3
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,f1,1,52.2
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,recall,1,66.7
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,specificity,1,60.0
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,roc_auc_ovr,1,64.4
compact_cnn__l7_v2_training_bundle_fixed10,0,Pre-Frail,pr_auc_ovr,1,40.1
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,1,54.9
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,f1,1,40.0
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,recall,1,33.3
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,specificity,1,76.5
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,roc_auc_ovr,1,43.1
compact_cnn__l7_v2_training_bundle_fixed10,1,Robust/Non-Frail,pr_auc_ovr,1,50.8
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,balanced_accuracy_ovr,1,67.9
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,f1,1,53.3
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,recall,1,50.0
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,specificity,1,85.7
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,roc_auc_ovr,1,73.2
compact_cnn__l7_v2_training_bundle_fixed10,2,Young,pr_auc_ovr,1,55.3
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,balanced_accuracy_ovr,1,64.7
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,f1,1,50.0
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,recall,1,44.4
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,specificity,1,85.0
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,roc_auc_ovr,1,68.9
inception_full__l0_legacy64_w15_fixed10,0,Pre-Frail,pr_auc_ovr,1,57.0
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,1,65.7
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,f1,1,61.5
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,recall,1,66.7
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,specificity,1,64.7
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,roc_auc_ovr,1,61.8
inception_full__l0_legacy64_w15_fixed10,1,Robust/Non-Frail,pr_auc_ovr,1,55.6
inception_full__l0_legacy64_w15_fixed10,2,Young,balanced_accuracy_ovr,1,74.1
inception_full__l0_legacy64_w15_fixed10,2,Young,f1,1,62.5
inception_full__l0_legacy64_w15_fixed10,2,Young,recall,1,62.5
inception_full__l0_legacy64_w15_fixed10,2,Young,specificity,1,85.7
inception_full__l0_legacy64_w15_fixed10,2,Young,roc_auc_ovr,1,78.6
inception_full__l0_legacy64_w15_fixed10,2,Young,pr_auc_ovr,1,72.4
